"id","name"
"11.01",Aceh Selatan
"11.02",Aceh Tenggara
"11.03",Aceh Timur
"11.04",Aceh Tengah
"11.05",Aceh Barat
"11.06",Aceh Besar
"11.07",Pidie
"11.08",Aceh Utara
"11.09",Simeulue
"11.10",Aceh Singkil
"11.11",Bireuen
"11.12",Aceh Barat Daya
"11.13",Gayo Lues
"11.14",Aceh Jaya
"11.15",Nagan Raya
"11.16",Aceh Tamiang
"11.17",Bener Meriah
"11.18",Pidie Jaya
"11.71",Kota Banda Aceh
"11.72",Kota Sabang
"11.73",Kota Lhokseumawe
"11.74",Kota Langsa
"11.75",Kota Subulussalam
"12.01",Tapanuli Tengah
"12.02",Tapanuli Utara
"12.03",Tapanuli Selatan
"12.04",Nias
"12.05",Langkat
"12.06",Karo
"12.07",Deli Serdang
"12.08",Simalungun
"12.09",Asahan
"12.10",Labuhanbatu
"12.11",Dairi
"12.12",Toba
"12.13",Mandailing Natal
"12.14",Nias Selatan
"12.15",Pakpak Bharat
"12.16",Humbang Hasundutan
"12.17",Samosir
"12.18",Serdang Bedagai
"12.19",Batu Bara
"12.20",Padang Lawas Utara
"12.21",Padang Lawas
"12.22",Labuhanbatu Selatan
"12.23",Labuhanbatu Utara
"12.24",Nias Utara
"12.25",Nias Barat
"12.71",Kota Medan
"12.72",Kota Pematangsiantar
"12.73",Kota Sibolga
"12.74",Kota Tanjung Balai
"12.75",Kota Binjai
"12.76",Kota Tebing Tinggi
"12.77",Kota Padangsidimpuan
"12.78",Kota Gunungsitoli
"13.01",Pesisir Selatan
"13.02",Solok
"13.03",Sijunjung
"13.04",Tanah Datar
"13.05",Padang Pariaman
"13.06",Agam
"13.07",Lima Puluh Kota
"13.08",Pasaman
"13.09",Kepulauan Mentawai
"13.10",Dharmasraya
"13.11",Solok Selatan
"13.12",Pasaman Barat
"13.71",Kota Padang
"13.72",Kota Solok
"13.73",Kota Sawahlunto
"13.74",Kota Padang Panjang
"13.75",Kota Bukittinggi
"13.76",Kota Payakumbuh
"13.77",Kota Pariaman
"14.01",Kampar
"14.02",Indragiri Hulu
"14.03",Bengkalis
"14.04",Indragiri Hilir
"14.05",Pelalawan
"14.06",Rokan Hulu
"14.07",Rokan Hilir
"14.08",Siak
"14.09",Kuantan Singingi
"14.10",Kepulauan Meranti
"14.71",Kota Pekanbaru
"14.72",Kota Dumai
"15.01",Kerinci
"15.02",Merangin
"15.03",Sarolangun
"15.04",Batanghari
"15.05",Muaro Jambi
"15.06",Tanjung Jabung Barat
"15.07",Tanjung Jabung Timur
"15.08",Bungo
"15.09",Tebo
"15.71",Kota Jambi
"15.72",Kota Sungai Penuh
"16.01",Ogan Komering Ulu
"16.02",Ogan Komering Ilir
"16.03",Muara Enim
"16.04",Lahat
"16.05",Musi Rawas
"16.06",Musi Banyuasin
"16.07",Banyuasin
"16.08",Ogan Komering Ulu Timur
"16.09",Ogan Komering Ulu Selatan
"16.10",Ogan Ilir
"16.11",Empat Lawang
"16.12",Penukal Abab Lematang Ilir
"16.13",Musi Rawas Utara
"16.71",Kota Palembang
"16.72",Kota Pagar Alam
"16.73",Kota Lubuk Linggau
"16.74",Kota Prabumulih
"17.01",Bengkulu Selatan
"17.02",Rejang Lebong
"17.03",Bengkulu Utara
"17.04",Kaur
"17.05",Seluma
"17.06",Muko Muko
"17.07",Lebong
"17.08",Kepahiang
"17.09",Bengkulu Tengah
"17.71",Kota Bengkulu
"18.01",Lampung Selatan
"18.02",Lampung Tengah
"18.03",Lampung Utara
"18.04",Lampung Barat
"18.05",Tulang Bawang
"18.06",Tanggamus
"18.07",Lampung Timur
"18.08",Way Kanan
"18.09",Pesawaran
"18.10",Pringsewu
"18.11",Mesuji
"18.12",Tulang Bawang Barat
"18.13",Pesisir Barat
"18.71",Kota Bandar Lampung
"18.72",Kota Metro
"19.01",Bangka
"19.02",Belitung
"19.03",Bangka Selatan
"19.04",Bangka Tengah
"19.05",Bangka Barat
"19.06",Belitung Timur
"19.71",Kota Pangkal Pinang
"21.01",Bintan
"21.02",Karimun
"21.03",Natuna
"21.04",Lingga
"21.05",Kepulauan Anambas
"21.71",Kota Batam
"21.72",Kota Tanjung Pinang
"31.01",Kepulauan Seribu
"31.71",Kota Jakarta Pusat
"31.72",Kota Jakarta Utara
"31.73",Kota Jakarta Barat
"31.74",Kota Jakarta Selatan
"31.75",Kota Jakarta Timur
"32.01",Bogor
"32.02",Sukabumi
"32.03",Cianjur
"32.04",Bandung
"32.05",Garut
"32.06",Tasikmalaya
"32.07",Ciamis
"32.08",Kuningan
"32.09",Cirebon
"32.10",Majalengka
"32.11",Sumedang
"32.12",Indramayu
"32.13",Subang
"32.14",Purwakarta
"32.15",Karawang
"32.16",Bekasi
"32.17",Bandung Barat
"32.18",Pangandaran
"32.71",Kota Bogor
"32.72",Kota Sukabumi
"32.73",Kota Bandung
"32.74",Kota Cirebon
"32.75",Kota Bekasi
"32.76",Kota Depok
"32.77",Kota Cimahi
"32.78",Kota Tasikmalaya
"32.79",Kota Banjar
"33.01",Cilacap
"33.02",Banyumas
"33.03",Purbalingga
"33.04",Banjarnegara
"33.05",Kebumen
"33.06",Purworejo
"33.07",Wonosobo
"33.08",Magelang
"33.09",Boyolali
"33.10",Klaten
"33.11",Sukoharjo
"33.12",Wonogiri
"33.13",Karanganyar
"33.14",Sragen
"33.15",Grobogan
"33.16",Blora
"33.17",Rembang
"33.18",Pati
"33.19",Kudus
"33.20",Jepara
"33.21",Demak
"33.22",Semarang
"33.23",Temanggung
"33.24",Kendal
"33.25",Batang
"33.26",Pekalongan
"33.27",Pemalang
"33.28",Tegal
"33.29",Brebes
"33.71",Kota Magelang
"33.72",Kota Surakarta
"33.73",Kota Salatiga
"33.74",Kota Semarang
"33.75",Kota Pekalongan
"33.76",Kota Tegal
"34.01",Kulon Progo
"34.02",Bantul
"34.03",Gunungkidul
"34.04",Sleman
"34.71",Kota Yogyakarta
"35.01",Pacitan
"35.02",Ponorogo
"35.03",Trenggalek
"35.04",Tulungagung
"35.05",Blitar
"35.06",Kediri
"35.07",Malang
"35.08",Lumajang
"35.09",Jember
"35.10",Banyuwangi
"35.11",Bondowoso
"35.12",Situbondo
"35.13",Probolinggo
"35.14",Pasuruan
"35.15",Sidoarjo
"35.16",Mojokerto
"35.17",Jombang
"35.18",Nganjuk
"35.19",Madiun
"35.20",Magetan
"35.21",Ngawi
"35.22",Bojonegoro
"35.23",Tuban
